"Kod";"Nazwa";"Pojazdy";"Grupy wieku";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0264000;"Powiat m. Wrocław";"samochody osobowe";"12-15 lat";"2015";50855;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"12-15 lat";"2016";51652;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"12-15 lat";"2017";52940;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"12-15 lat";"2018";54458;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"12-15 lat";"2019";55836;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"12-15 lat";"2020";57597;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"12-15 lat";"2021";57511;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"16-20 lat";"2015";66886;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"16-20 lat";"2016";69396;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"16-20 lat";"2017";65798;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"16-20 lat";"2018";63228;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"16-20 lat";"2019";61952;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"16-20 lat";"2020";61671;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"16-20 lat";"2021";63218;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"21-25 lat";"2015";39651;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"21-25 lat";"2016";41073;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"21-25 lat";"2017";41037;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"21-25 lat";"2018";44862;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"21-25 lat";"2019";48045;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"21-25 lat";"2020";51959;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"21-25 lat";"2021";53247;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"26-30 lat";"2015";27595;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"26-30 lat";"2016";29033;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"26-30 lat";"2017";33636;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"26-30 lat";"2018";34490;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"26-30 lat";"2019";34921;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"26-30 lat";"2020";36096;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"26-30 lat";"2021";36984;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"31 lat i starsze";"2015";58038;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"31 lat i starsze";"2016";62528;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"31 lat i starsze";"2017";67373;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"31 lat i starsze";"2018";72919;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"31 lat i starsze";"2019";78640;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"31 lat i starsze";"2020";84625;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"31 lat i starsze";"2021";91197;"szt.";"";
