Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-01-02,4.2802,4.3137,4.2755,4.2991
2015-01-05,4.2933,4.3162,4.2827,4.2845
2015-01-06,4.2845,4.3209,4.2839,4.3162
2015-01-07,4.3154,4.3193,4.288,4.2894
2015-01-08,4.2893,4.2994,4.2764,4.2772
2015-01-09,4.2772,4.2859,4.2521,4.2674
2015-01-12,4.2618,4.2843,4.2593,4.2709
2015-01-13,4.2705,4.2854,4.2686,4.2774
2015-01-14,4.2775,4.2946,4.2534,4.2564
2015-01-15,4.2564,4.3672,4.2357,4.3105
2015-01-16,4.3105,4.3332,4.2985,4.3021
2015-01-19,4.3088,4.3325,4.2999,4.3298
2015-01-20,4.3295,4.3335,4.3191,4.3306
2015-01-21,4.3307,4.3329,4.2909,4.2994
2015-01-22,4.2993,4.3095,4.2464,4.2541
2015-01-23,4.2535,4.2554,4.1954,4.2008
2015-01-26,4.2051,4.2334,4.1988,4.2116
2015-01-27,4.2116,4.2394,4.2078,4.2331
2015-01-28,4.2332,4.2496,4.2232,4.2447
2015-01-29,4.2448,4.2554,4.2009,4.2105
2015-01-30,4.2118,4.2165,4.1786,4.1834
2015-02-02,4.182,4.1868,4.1639,4.1846
2015-02-03,4.1849,4.1895,4.1573,4.1692
2015-02-04,4.1693,4.1821,4.1525,4.1651
2015-02-05,4.1651,4.1808,4.1604,4.1675
2015-02-06,4.1673,4.1731,4.146,4.1566
2015-02-09,4.1583,4.1927,4.1553,4.1819
2015-02-10,4.1822,4.2022,4.1797,4.1991
2015-02-11,4.1991,4.2226,4.194,4.2016
2015-02-12,4.2014,4.2103,4.1602,4.1636
2015-02-13,4.1636,4.1851,4.1625,4.1843
2015-02-16,4.1759,4.183,4.1726,4.1758
2015-02-17,4.1757,4.1936,4.1709,4.1892
2015-02-18,4.1894,4.1979,4.1798,4.1815
2015-02-19,4.1815,4.1861,4.1575,4.1687
2015-02-20,4.1685,4.1825,4.1608,4.1663
2015-02-23,4.1753,4.1824,4.1678,4.1792
2015-02-24,4.1787,4.18,4.1519,4.1573
2015-02-25,4.1574,4.165,4.1528,4.1568
2015-02-26,4.1567,4.1593,4.1445,4.1488
2015-02-27,4.1489,4.1554,4.1421,4.1457
2015-03-02,4.146,4.1569,4.143,4.1552
2015-03-03,4.1552,4.1691,4.1506,4.1642
2015-03-04,4.1642,4.18,4.1292,4.146
2015-03-05,4.1461,4.1487,4.1289,4.1415
2015-03-06,4.1415,4.1416,4.0976,4.1279
2015-03-09,4.1316,4.1347,4.1127,4.1152
2015-03-10,4.1152,4.1639,4.1139,4.157
2015-03-11,4.157,4.1638,4.1153,4.1215
2015-03-12,4.1215,4.1463,4.1167,4.1411
2015-03-13,4.1414,4.1598,4.1377,4.1466
2015-03-16,4.1474,4.1535,4.1213,4.1255
