Data,Wartość
2018-03-15,4.67 
2018-03-08,4.58 
2018-03-01,4.61 
2018-02-22,4.63 
2018-02-15,4.6 
2018-02-08,4.64 
2018-02-01,4.67 
2018-01-25,4.69 
2018-01-18,4.7 
2018-01-11,4.73 
2018-01-04,4.7 
2017-12-28,4.68 
2017-12-21,4.69 
2017-12-14,4.7 
2017-12-07,4.68 
2017-11-30,4.66 
2017-11-23,4.68 
2017-11-16,4.7 
2017-11-09,4.73 
2017-11-02,4.73 
2017-10-26,4.62 
2017-10-19,4.58 
2017-10-12,4.56 
2017-10-05,4.58 
2017-09-28,4.61 
2017-09-21,4.63 
2017-09-14,4.6 
2017-09-07,4.62 
2017-08-31,4.58 
2017-08-24,4.48 
2017-08-17,4.46 
2017-08-10,4.43 
2017-08-03,4.45 
2017-07-27,4.43 
2017-07-20,4.39 
2017-07-13,4.35 
2017-07-06,4.36 
2017-06-29,4.37 
2017-06-22,4.35 
2017-06-15,4.37 
2017-06-07,4.41 
2017-06-01,4.44 
2017-05-25,4.47 
2017-05-18,4.51 
2017-05-11,4.54 
2017-05-04,4.59 
2017-04-27,4.65 
2017-04-20,4.68 
2017-04-13,4.71 
2017-04-06,4.67 
2017-03-30,4.58 
2017-03-23,4.57 
2017-03-16,4.61 
2017-03-09,4.67 
2017-03-02,4.73 
2017-02-23,4.75 
2017-02-16,4.79 
2017-02-09,4.76 
2017-02-02,4.71 
2017-01-26,4.73 
2017-01-19,4.71 
2017-01-12,4.75 
2017-01-05,4.74 
2016-12-29,4.77 
2016-12-22,4.79 
2016-12-15,4.76 
2016-12-08,4.72 
2016-12-01,4.68 
2016-11-24,4.56 
2016-11-17,4.52 
2016-11-10,4.46 
2016-11-03,4.5 
2016-10-27,4.55 
2016-10-20,4.58 
2016-10-13,4.55 
2016-10-06,4.53 
2016-09-29,4.49 
2016-09-22,4.39 
2016-09-15,4.42 
2016-09-08,4.44 
2016-09-01,4.44 
2016-08-25,4.46 
2016-08-18,4.38 
2016-08-11,4.32 
2016-08-04,4.28 
2016-07-28,4.32 
2016-07-21,4.34 
2016-07-14,4.39 
2016-07-07,4.43 
2016-06-30,4.46 
2016-06-23,4.49 
2016-06-16,4.49 
2016-06-09,4.52 
2016-06-02,4.53 
2016-05-26,4.55 
2016-05-18,4.52 
2016-05-12,4.45 
2016-05-05,4.4 
2016-04-28,4.38 
2016-04-21,4.31 
2016-04-14,4.24 
2016-04-07,4.2 
2016-03-31,4.15 
2016-03-24,4.15 
2016-03-17,4.09 
2016-03-10,4.05 
2016-03-03,4.01 
2016-02-25,3.94 
2016-02-18,3.93 
2016-02-11,3.97 
2016-02-04,3.98 
2016-01-28,4.01 
2016-01-21,4.02 
2016-01-14,4.04 
2016-01-07,4.1 
2015-12-31,4.15 
2015-12-23,4.18 
2015-12-16,4.22 
2015-12-10,4.26 
2015-12-03,4.34 
2015-11-26,4.39 
2015-11-19,4.37 
2015-11-12,4.41 
2015-11-05,4.45 
2015-10-29,4.42 
2015-10-22,4.37 
2015-10-15,4.4 
2015-10-08,4.44 
2015-10-01,4.47 
2015-09-24,4.5 
2015-09-17,4.54 
2015-09-10,4.59 
2015-09-03,4.65 
2015-08-27,4.7 
2015-08-20,4.77 
2015-08-13,4.86 
2015-08-06,4.91 
2015-07-30,4.94 
2015-07-24,4.99 
2015-07-16,5.03 
2015-07-09,5.06 
2015-07-02,5.06 
2015-06-25,4.98 
2015-06-19,4.95 
2015-06-11,4.96 
2015-06-04,4.9 
2015-05-27,4.91 
2015-05-21,4.87 
2015-05-14,4.79 
2015-05-07,4.79 
2015-04-30,4.79 
2015-04-23,4.77 
2015-04-16,4.77 
2015-04-09,4.71 
2015-04-02,4.67 
2015-03-26,4.67 
2015-03-20,4.64 
2015-03-13,4.65 
2015-03-06,4.66 
2015-02-27,4.59 
2015-02-20,4.53 
2015-02-13,4.49 
2015-02-06,4.41 
2015-01-30,4.32 
2015-01-23,4.3 
2015-01-16,4.36 
2015-01-09,4.43 
2015-01-02,4.51 
2014-12-26,4.58 
2014-12-19,4.63 
2014-12-12,4.69 
2014-12-05,4.79 
2014-11-28,4.89 
2014-11-21,4.96 
2014-11-14,5.01 
2014-11-07,5.07 
