name,city,region,make,price,year,mileage,engine_capacity,fuel_type,price
Mercedes-Benz GLE Coupe 350 d 4-Matic,Poznań,Wielkopolskie,mercedes-benz,249000,2018,97000,2987,diesel,249000
Peugeot 307 2.0 HDi,Kraków,Małopolskie,peugeot,4900,2003,376660,1997,diesel,4900
Citroën C4 1.6 16V SX,Ostrów Wielkopolski,Wielkopolskie,citroen,16500,2008,141000,1587,petrol,16500
Ford Mondeo,Biała Podlaska,Lubelskie,ford,65000,2015,170000,1997,diesel,65000
Seat Ibiza 1.2 TDI Ecomotive Reference,Dąbrowa Górnicza,Śląskie,seat,21000,2013,140000,1199,diesel,21000
Ford Mondeo 2.0 TDCi Ambiente,Legnica,Dolnośląskie,ford,16900,2008,235000,1997,diesel,16900
Skoda Fabia 1.2 12V Comfort,Zabrze,Śląskie,skoda,13999,2009,160000,1198,petrol,13999
Volvo V40 D3 Momentum,Biskupice,Wielkopolskie,volvo,38500,2014,239000,1984,diesel,38500
MINI Cooper S,Swadzim,Wielkopolskie,mini,174800,2023,11,1499,electric,174800
BMW X7 M50i sport,Warszawa,Mazowieckie,bmw,439000,2019,88000,4395,petrol,439000
Fiat Punto Evo 1.4 8V Dynamic,Ostrów Wielkopolski,Wielkopolskie,fiat,14999,2010,181258,1368,petrol,14999
Skoda Kodiaq 2.0 TDI 4x4 Style DSG,Wrocław,Dolnośląskie,skoda,117000,2018,197000,1968,diesel,117000
Ford Focus 1.5 EcoBoost Titanium,Zielona Góra,Lubuskie,ford,78900,2019,90400,1499,petrol,78900
MINI Paceman,Gdynia,Pomorskie,mini,69000,2015,82500,1598,petrol,69000
Audi Q7 3.0 TDI Quattro Tiptronic,Łomianki,Mazowieckie,audi,194340,2015,152000,2967,diesel,194340
Audi A4 2.0 TDI 112g,Konin,Wielkopolskie,audi,69900,2016,190000,1968,diesel,69900
Audi S4 4.2 Quattro Tiptr,Łapanów,Małopolskie,audi,49999,2007,220479,4163,petrol-lpg,49999
